State,Year,Population_12_17,Population_18_25,Population_26plus,Rates.Marijuana.New Users.12-17,Rates.Marijuana.New Users.18-25,Rates.Marijuana.New Users.26+,Rates_Marijuana_Used_Past_Month_12_17,Rates_Marijuana_Used_Past_Month_18_25,Rates_Marijuana_Used_Past_Month_26plus
Nevada,2006,211067,243884,1609285,0.055421,0.054466,0.001356,0.070515,0.142309,0.044613
New Hampshire,2006,111310,134161,868239,0.063167,0.107704,0.001344,0.086439,0.259262,0.054579
New Jersey,2006,727090,852072,5662105,0.052888,0.058339,0.000955,0.057687,0.148497,0.030258
New Mexico,2006,172181,226537,1198968,0.075666,0.080741,0.000991,0.087281,0.190645,0.045258
New York,2006,1579916,2179143,12397704,0.057596,0.067558,0.00108,0.074333,0.200599,0.045963
North Carolina,2006,728599,907260,5664014,0.053267,0.055018,0.001095,0.062248,0.154646,0.035561
North Dakota,2006,50947,88579,388842,0.052139,0.061035,0.000915,0.05018,0.118576,0.0342
Ohio,2006,971766,1226839,7315244,0.064733,0.070009,0.001176,0.073514,0.17388,0.039485
Oklahoma,2006,299621,410759,2202862,0.050691,0.054643,0.001054,0.062125,0.125208,0.037077
Oregon,2006,297325,387123,2436662,0.067347,0.08071,0.001343,0.078085,0.184325,0.057079
Pennsylvania,2006,1018244,1324878,8099649,0.057184,0.06711,0.000961,0.069086,0.158627,0.034418
Rhode Island,2006,85339,127016,683457,0.075851,0.108721,0.001234,0.097663,0.300214,0.068878
South Carolina,2006,362886,457237,2759373,0.049872,0.06124,0.001044,0.052979,0.138187,0.032455
South Dakota,2006,66722,91328,484977,0.047037,0.060017,0.000994,0.057669,0.142019,0.036976
Tennessee,2006,496587,620435,3921118,0.05575,0.058191,0.001167,0.061231,0.162522,0.038929
Texas,2006,2105817,2699382,13969152,0.051409,0.045412,0.001062,0.054706,0.110131,0.027562
Utah,2006,243193,370864,1398474,0.034193,0.031091,0.001375,0.043198,0.098444,0.026417
Vermont,2006,50946,68687,415768,0.081474,0.114109,0.001151,0.109031,0.291595,0.067522
Virginia,2006,617354,798995,4833297,0.054569,0.06675,0.001154,0.076269,0.18574,0.044478
Washington,2006,534929,672222,4127451,0.055514,0.069816,0.001263,0.074011,0.190554,0.056214
West Virginia,2006,136317,181656,1221268,0.052822,0.06449,0.000889,0.063977,0.164205,0.033803
Wisconsin,2006,467728,619449,3562535,0.061544,0.072548,0.001117,0.070601,0.161807,0.03985
Wyoming,2006,42925,59433,327096,0.067516,0.089292,0.001219,0.080773,0.181262,0.04593
Alabama,2007,383012,499641,2945019,0.045213,0.046279,0.001078,0.052351,0.129917,0.030587
Alaska,2007,62685,75733,402686,0.061479,0.072432,0.001555,0.080049,0.202775,0.072042
Arizona,2007,537098,672122,3970487,0.054975,0.067064,0.001243,0.065748,0.160837,0.039644
Arkansas,2007,232677,293615,1798383,0.049327,0.065813,0.001289,0.056759,0.155053,0.038406
California,2007,3209102,4257978,22463775,0.055822,0.071455,0.001302,0.068799,0.172889,0.04616
Colorado,2007,387018,520149,3099040,0.074241,0.093812,0.001843,0.091267,0.234395,0.068407
Connecticut,2007,292219,356482,2270009,0.065952,0.072507,0.001313,0.077891,0.19784,0.04208
Delaware,2007,69899,92374,555898,0.053768,0.085359,0.001264,0.071903,0.221084,0.046013
District of Columbia,2007,37001,84647,382077,0.06832,0.08384,0.002097,0.072093,0.237239,0.067865
Florida,2007,1368710,1777472,12159193,0.051703,0.058111,0.00105,0.065489,0.156205,0.040436
Georgia,2007,824664,999107,5874242,0.052416,0.059523,0.001473,0.05409,0.147214,0.038672
Hawaii,2007,95794,128777,828347,0.06554,0.078045,0.000707,0.070893,0.173119,0.049735
Idaho,2007,132932,163520,913888,0.052843,0.053357,0.001247,0.070734,0.145533,0.039792
Illinois,2007,1082534,1442935,8046718,0.054559,0.064052,0.001222,0.061805,0.145582,0.036735
Indiana,2007,535015,677663,4001008,0.058043,0.074073,0.001155,0.075782,0.168662,0.042497
